147929	4390	22106	39308	70644	1502	671	82	718	5234	8906	7174	978	1222	211	4252	1675	373	193	949	34825	1917	2205	1948	21100	28925	152	69	19799	299	741	457	1348	13256	737	595	13746	585	468
701	109062	3422	30661	10178	265	10	263	903	2628	22792	966	21635	334	108	2933	7059	2358	5	785	320	375	2734	1556	800	1342	77	151	1064	130	374	278	343	2069	270	524	139	2280	421
14100	5413	62825	10855	18916	1054	575	1651	3452	6721	21941	17130	10778	448	359	3763	17628	1519	389	2165	17969	3680	7076	882	22482	6673	640	405	8692	1425	269	2377	1627	22876	7176	4090	9134	639	1721
3221	12210	2591	38495	3055	148	0	50	173	651	5954	887	1310	141	0	3122	1154	14	0	77	5233	144	176	4	1256	166	11	0	1651	170	0	0	311	1003	46	89	154	258	23
23705	7493	14815	16881	107671	1039	13	279	321	2953	2924	1046	7583	337	134	2599	1364	357	0	151	1975	254	1537	602	3398	7546	29	81	5084	285	132	125	41	573	63	350	1018	2111	616
0	21	56	27	88	22573	50	3589	926	94	14	0	29	0	910	33	41	37	394	208	155	683	23	36	74	113	3515	1744	0	1	0	269	2	86	0	572	333	1	0
0	0	0	0	0	2	41185	364	127	190	0	58	0	907	249	68	2	1	3357	2342	0	0	126	26	0	0	210	552	4	1502	2741	1655	652	2	33	5	2	111	26
0	105	17	1	0	1244	202	20738	1617	954	27	27	20	51	3513	864	544	156	4873	474	1	162	352	252	0	2	367	1433	165	35	67	6565	223	35	7	616	29	32	38
124	3	442	95	164	3700	507	4957	24243	4992	265	5	168	622	805	455	1558	252	1286	507	271	2810	2355	588	12	321	1016	5040	259	1239	63	1526	5821	135	295	4613	264	485	2912
319	326	624	30	1033	0	5	169	755	25431	741	205	1408	13	91	45	1238	1284	317	0	216	114	1546	80	98	323	0	44	623	11	189	0	253	756	204	866	0	261	434
2423	34034	13186	12607	6546	1148	160	706	1342	3716	76470	5235	46162	653	390	1064	19837	2258	266	537	1897	979	3828	420	8543	1769	126	163	3687	992	484	308	784	9860	1726	1073	2695	2634	519
1701	6084	13698	3233	4611	1098	1600	1048	1441	6544	9139	147509	8403	517	115	3217	27606	3299	473	222	6853	2245	8930	188	6870	6384	540	1366	29236	495	1660	434	1204	31305	14247	2732	5452	3113	2279
12	11596	3473	1675	3848	295	706	291	548	2732	20064	939	146029	265	113	176	11897	12263	83	299	483	1310	702	2297	772	1522	50	271	1288	276	789	865	58	8438	5027	146	1188	3257	457
114	332	106	8	92	569	2408	3188	1981	1552	14	341	0	124523	1040	6013	269	277	1141	1102	929	626	1555	335	7	3	2768	3711	135	3535	2780	636	36070	237	131	17246	129	1601	2425
0	42	279	0	1	1011	23	3206	199	48	3	152	52	6	19373	9	235	166	463	1737	24	6	37	421	0	2	674	91	162	0	0	278	184	178	0	245	17	873	133
34	136	543	436	296	913	2220	1410	895	379	98	313	842	862	828	46738	1125	2732	542	2510	848	151	1491	1707	89	46	980	3960	162	638	2692	1789	756	341	678	651	96	1743	370
140	6015	21762	2286	3249	1761	1336	3800	4816	14596	24365	18640	40922	1593	552	4472	160630	61453	970	1409	9454	5274	17450	3791	4412	6185	407	715	5243	3064	2555	1736	2676	45194	35182	4389	8320	15159	5893
