143710	3750	14347	26917	34300	1546	619	142	563	2073	7664	10430	485	1514	770	2547	2816	454	224	1093	20737	3009	1652	2774	35348	80395	1246	180	33233	455	750	526	310	12677	451	1030	8941	1776	235
6041	77936	3756	33128	13829	501	12	89	708	1550	34069	1275	9916	349	871	4853	6956	3153	0	647	1803	1145	2859	3543	5717	5847	943	153	1537	109	271	461	203	3228	563	848	828	2465	153
19532	4960	35650	7971	12281	1248	680	1401	3211	4369	25727	23799	4167	453	2008	3867	19580	1798	352	2718	14618	4880	5661	1964	30993	15658	1532	283	20170	1865	860	2005	1653	21292	5585	2974	11571	1309	870
6660	8527	2214	36545	5654	11	0	79	214	260	7493	1464	407	31	16	1734	1909	61	4	129	3119	575	113	153	1420	226	91	15	1999	122	0	0	81	549	38	102	1518	415	0
49626	4485	7936	16212	75411	1351	1	230	202	2025	4971	3598	4151	344	316	2654	1223	840	0	183	2327	241	765	3086	10095	10194	592	23	6277	427	43	198	79	2221	51	276	796	3847	188
23	0	37	1	30	18945	495	1416	1697	57	1	0	9	25	2689	22	1	0	157	418	0	783	116	0	58	54	5908	2154	3	0	0	577	42	113	61	216	473	40	76
0	0	0	0	0	30	35886	293	217	214	0	79	0	1113	394	166	7	2	3878	3047	0	0	147	0	0	8	342	1001	15	942	5696	2113	657	0	12	26	4	206	4
2	2	5	2	0	2880	284	15962	1668	844	0	3	13	157	8348	614	257	88	2887	1084	89	179	386	102	0	1	1553	1523	30	97	155	4369	606	18	0	1040	5	199	356
35	5	149	358	236	4418	216	4162	16590	8379	164	387	324	1327	3635	1488	522	797	643	1324	95	2514	2395	962	111	235	2487	4355	443	1736	301	1913	4476	200	901	4287	382	567	1656
477	46	188	366	945	0	254	651	282	21758	748	131	1675	136	0	3	1579	1715	122	0	86	438	1095	551	1094	481	0	51	801	1	89	3	123	1483	1445	933	0	141	161
8393	22278	10504	8308	4338	1511	145	325	1043	2840	87455	8513	21197	525	1390	864	20656	2909	270	572	3773	1347	3028	1163	14356	4842	1628	27	10308	1281	415	466	443	13011	1957	2014	2689	4326	117
