632053	48110	20198	11475	8823	67420	386341	14780	11443	79985	0	4728	1447	3458	16726	131374	1108	7931
108019	313097	5609	9747	900	44442	183753	2971	1422	47952	0	0	6914	13779	13064	17587	0	509
36865	10890	253258	109414	39459	16168	137308	1182	38364	20054	18924	92385	13948	459	275	3194	50706	45169
105755	8294	109628	527424	43981	27888	114700	57657	71490	11261	17	29438	53883	1716	76384	71375	21290	7703
506552	224794	35885	965	200774	284808	210405	393	41093	92141	0	0	43538	21384	21971	20241	0	58409
61354	164332	27159	10770	22827	202285	129714	0	41531	30110	912	61	47188	739	10081	34533	12233	104202
95053	65489	75511	28545	28363	43731	994775	43092	154562	14880	11842	20441	41279	19090	39467	53673	8899	26758
18446	0	290019	186513	209	10	13771	952841	43919	1306	14032	94992	36626	9336	22482	77970	2506	88
53080	5368	66562	4256	23432	210779	223759	7179	711801	55905	1508	28718	56540	9913	101000	193593	37	12304
47589	103135	39581	29443	91062	78519	63948	2357	54892	1090291	62871	19994	5978	3676	6729	9831	23535	30971
0	0	71910	5555	212	8	3011	2909	1546	3516	1049746	233230	11965	234046	92757	1414	52527	0
763	1200	34541	7799	9486	4779	11190	1137	5189	23674	173439	1381403	23793	13060	2736	1084	64426	1197
7779	0	1431	4956	7899	0	10009	14865	2059	18603	56548	0	721378	99851	52152	247056	363162	153852
0	0	84994	0	137917	6932	21371	14374	290	304	1	0	93914	372127	959857	72727	1221	0
149516	14518	2643	101	35442	51110	8962	4998	74179	98125	8746	0	97736	270473	699214	221809	0	0
239821	31917	35976	8594	94873	56223	41768	718	2754	36825	4382	0	119512	61692	4923	567188	17535	86328
88926	4863	8678	105366	2291	4021	2296	0	67053	3063	402746	42573	4597	4168	3437	8567	895910	114453
2393	55	48373	11774	9133	1958	26676	8150	21956	79805	54796	32602	120940	280	4635	8750	994527	338556
