443421	246587	12245	8320	29649	65486	104205	2893	13092	67468	328	329	63197	331390	8404	6536	35237	8613
64193	518373	1552	29715	102	6051	36650	2708	2923	31475	0	0	3174	60819	10560	1470	0	0
57142	29952	119769	133261	27445	16893	63761	24475	16923	35072	12143	90454	58946	9275	5721	3029	85328	98433
111583	16303	41909	447373	2903	15554	48870	115439	24165	12417	2136	45292	20857	266286	27796	3901	77770	59330
58143	106783	3472	0	151702	128090	95469	0	18529	62149	110758	22	196631	804365	5457	1533	11326	8924
66558	278581	25621	1942	41556	58467	31690	916	30300	74837	11931	12580	72588	66094	453	5650	4135	116132
421778	138658	42012	64939	47734	116936	313976	83581	86237	122815	9947	28219	36368	93796	100258	16690	33187	8319
22805	0	85377	374946	5954	334	6635	429671	18744	41934	19588	160864	8922	175661	15273	0	297632	100726
56991	51359	7218	3031	55500	53749	97840	1900	205806	105504	38943	63949	54287	921371	15156	3640	21664	7826
136	59737	5147	0	134029	99334	7435	0	60838	982204	120017	62489	45060	133849	0	709	3579	49839
222	3564	91918	21836	19527	5117	7404	19985	8827	2278	565875	244998	57897	133842	8176	2478	337647	232761
2950	3279	28314	212	119145	1575	7268	3879	43187	27152	71433	1161660	59181	11171	67610	45	32903	119932
0	0	5024	1945	0	0	366	53237	25	4664	17753	0	204306	660801	948	5114	442406	365011
0	0	11425	0	110486	854	0	0	0	11236	0	0	176078	1380333	63089	5497	0	7031
145	3636	3281	0	33777	3043	1817	0	1591	72826	106320	0	31445	1474424	3661	1497	0	109
2808	5635	36698	6605	26886	42296	5556	62	1768	10155	8686	0	110015	911561	0	10778	7454	224066
78537	0	8273	304355	188	8467	3296	10261	32	218425	50752	32964	102245	640	0	0	790009	154564
696	0	62068	28331	3958	0	45	77617	6401	110869	97930	11442	117116	0	7831	5048	823256	412751
