576740	212223	34598	30736	20351	72734	171370	25660	24415	127090	28	2206	8470	13252	4819	113789	3826	5093
54206	463311	4084	50	1141	56078	67620	13429	12845	58558	0	0	14415	3979	13754	5751	0	544
23190	11217	294709	78332	61418	33579	82186	10840	53673	41125	13070	45743	16167	4230	20648	82	21678	76135
86100	2891	82621	571492	60235	48555	102763	30049	57860	22806	8678	5889	105674	1617	16462	23361	46350	66481
78400	63282	118924	570	602173	171787	138957	7316	42570	123591	11921	0	202634	38864	156205	432	1683	4044
41590	165638	13820	12527	46566	218153	69145	26798	36911	68844	150	0	42080	7091	31193	12700	1187	105638
119492	94783	114312	118749	73210	108345	727449	20017	129775	51169	18310	7197	48118	11741	43315	29042	15877	34549
4000	1057	496832	212798	216	18500	4035	702852	49287	5354	42562	59125	37638	2877	64996	42619	13575	6743
25452	56836	19919	22707	165521	350439	33058	65351	639584	119731	17396	1470	92998	3936	20572	114957	44	15763
9562	33002	42343	6912	52176	33854	45034	13777	81928	1250842	17355	165	919	64558	47921	1225	0	62829
0	0	82534	16001	2250	0	4809	4168	3207	15278	1041913	253057	131337	180479	23628	0	5691	0
0	0	66750	5770	158715	1382	6520	4	380907	144194	186667	778968	9810	0	0	951	20258	0
5249	248	1980	2193	178164	5931	546	51726	7164	10860	73901	0	825758	45325	5530	137709	195156	214160
2302	0	96190	0	119411	17727	681	19905	18444	92	1217	0	140105	202933	1113190	33787	45	0
99067	182	5112	1201	39156	81087	5259	80129	79440	108228	28647	0	241950	180751	631287	155551	525	0
36581	31518	75853	5680	66792	162895	9992	13224	2845	35594	8657	0	257134	66238	15798	435700	8705	177823
37037	34	18066	158833	16674	2306	12580	42064	39057	115130	198432	56731	4131	6005	795	1509	773162	280462
19646	673	66564	708	12513	1475	7071	41844	94406	198773	29660	9364	165981	3115	26401	0	663606	423559
