714216	101210	8653	17141	17014	87391	257046	20413	11245	64645	2796	3541	1322	3496	11186	100952	14226	10907
74425	517935	2898	8836	2763	22041	66535	3156	892	25564	0	0	64	27181	14027	455	235	2758
46005	15581	196669	134978	42569	34989	107222	20117	46115	24655	27928	81438	13734	1595	1652	32	23436	69307
81518	94	48251	638113	67184	34850	134448	51474	40002	7626	1647	32822	79941	4332	14294	46073	44107	13108
439277	379189	4216	0	348322	145348	124718	676	24485	9979	132	0	197871	2357	61631	2434	0	22718
54043	238141	14936	8684	32271	168087	79732	1115	41097	28076	449	455	88743	7364	10393	24173	0	102272
171169	91154	25069	114420	64382	109708	789233	39198	40581	74928	11520	21792	46744	2603	71542	34750	17056	39601
12572	0	150700	351840	7907	3255	11374	969633	15535	2341	14311	66866	22035	11878	53077	58458	5489	7795
77497	32676	23495	12358	145018	296716	216772	18926	520680	99140	1611	10736	58381	35239	49212	154779	770	11728
33185	163614	31481	1654	200004	136701	79310	2619	58884	842121	43178	1958	13482	23400	24270	2783	0	105758
0	314	107657	10343	2803	12	5418	2969	15783	8650	1144238	235107	10730	215911	3862	555	0	0
0	3875	118014	5819	17846	2281	28902	0	21148	30852	151144	1262897	52121	104	2596	3927	48025	11345
13	0	2890	81	791	364	13604	109437	0	734	4889	0	431299	479418	9217	120548	307893	280422
1546	0	58061	0	134039	4864	6560	13424	5911	5213	0	0	139263	483109	891799	17721	4519	0
187488	30889	11595	0	40086	57198	11427	32413	48252	10002	9305	0	76190	510792	664334	21399	25330	872
130653	87936	17229	7323	25142	135672	17339	94233	5325	42578	5015	0	142545	141351	19091	331338	7283	200976
73095	503	31491	247146	33754	4924	521	62721	4614	5139	225788	5003	16418	69793	1125	0	763378	217595
4223	0	21578	5851	6471	3065	3034	3361	13587	49503	29244	14013	201798	1439	4010	85	781251	622846
